ch,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
2,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
5.5,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
11,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
6,-10.5,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
9,-10.5,-10,-10,-10,-10,-10,-10,-10,-10,-10.5,-10.5,-10.5,-10.5,-10.5
12,-10.5,-10,-10,-10,-10,-10,-10,-10,-10,-10.5,-10.5,-10.5,-10.5,-10.5
18,-10.5,-10,-10,-10,-10,-10,-10,-10,-10,-10.5,-10.5,-10.5,-10.5,-10.5
24,-10.5,-10,-10,-10,-10,-10,-10,-10,-10,-10.5,-10.5,-10.5,-10.5,-10.5
36,-10.5,-10,-10,-10,-10,-10,-10,-10,-10,-10.5,-10.5,-10.5,-10.5,-10.5
48,-10.5,-10,-10,-10,-10,-10,-10,-10,-10,-10.5,-10.5,-10.5,-10.5,-10.5
54,-10.5,-10,-10,-10,-10,-10,-10,-10,-10,-10.5,-10.5,-10.5,-10.5,-10.5
mcs0,-11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-12,-10,-10,-10
mcs1,-11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-12,-10,-10,-10
mcs2,-11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-12,-10,-10,-10
mcs3,-11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-12,-10,-10,-10
mcs4,-11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-12,-10,-10,-10
mcs5,-11,-10,-10,-10,-10,-10,-10,-10,-10,-10,-12,-10,-10,-10
mcs6,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
mcs7,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
1e9c,0,,,,,,,,,,,,,
1edc,0,,,,,,,,,,,,,
